                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86684,                 2.4675,                 1.1544,                 0.8562,                      1,                0.95389,                0.73968,                0.96009,                 3.3395,                 1.1146,                  8e-05,                  8e-05,                  8e-05
                      2,                 0.6438,                 1.6891,                0.95191,                      1,                   0.75,                  0.995,                 0.9299,                0.39883,                 8.4758,                0.92311,             0.00017822,             0.00017822,             0.00017822
                      3,                0.63508,                 1.4422,                0.96875,                 0.4123,                      1,                0.98167,                0.82268,                0.53469,                 9.2637,                  0.939,             0.00027446,             0.00027446,             0.00027446
                      4,                0.65692,                 1.7091,                 1.0092,                0.01149,                  0.875,                0.02397,                0.01897,                0.65157,                 6314.4,                 1.3485,             0.00036871,             0.00036871,             0.00036871
                      5,                0.69864,                 1.8089,                 1.0206,                0.01036,                  0.625,                0.00851,                 0.0033,                 2.1389,             2.2863e+05,                 3.8651,             0.00046099,             0.00046099,             0.00046099
                      6,                0.68494,                 1.2187,                 1.0374,                0.00203,                   0.25,                0.00156,                0.00092,                  2.141,             1.5171e+06,                  19259,             0.00055129,             0.00055129,             0.00055129
                      7,                0.73384,                 1.0942,                 1.0717,                0.01884,                   0.25,                0.01477,                0.00571,                 3.6886,                 1324.8,                 26.739,             0.00063961,             0.00063961,             0.00063961
                      8,                 0.8026,                 1.4634,                 1.0871,                0.00263,                   0.75,                0.00382,                0.00059,                 3.3536,             2.8674e+05,                 29.875,             0.00072595,             0.00072595,             0.00072595
                      9,                0.89312,                 1.2366,                  1.147,                0.00304,                  0.875,                0.00488,                0.00069,                 3.9231,             1.7232e+05,                 2603.5,              0.0008103,              0.0008103,              0.0008103
                     10,                0.85969,                  1.063,                 1.0869,                0.01538,                   0.25,                0.01486,                0.00502,                 3.9803,             2.2971e+05,                  29566,             0.00089268,             0.00089268,             0.00089268
                     11,                0.84627,                 1.0746,                 1.1036,                0.01538,                   0.25,                0.01486,                0.00502,                      0,                  58766,                      0,             0.00097308,             0.00097308,             0.00097308
                     12,                 0.9491,                 1.2308,                 1.1605,                0.01538,                   0.25,                0.01486,                0.00502,                      0,                      0,                      0,              0.0010515,              0.0010515,              0.0010515
                     13,                0.90045,                 1.0334,                 1.1708,                0.01538,                   0.25,                0.01486,                0.00502,                      0,                      0,                      0,              0.0011279,              0.0011279,              0.0011279
                     14,                0.98523,                 1.0018,                 1.1924,                0.01538,                   0.25,                0.01486,                0.00502,                      0,                   4139,                      0,              0.0012024,              0.0012024,              0.0012024
                     15,                0.88356,                  1.044,                 1.0992,                0.01538,                   0.25,                0.01486,                0.00502,                      0,                      0,                      0,              0.0012749,              0.0012749,              0.0012749
                     16,                0.87849,                0.97056,                 1.1327,                0.01538,                   0.25,                0.01486,                0.00502,                      0,             1.2813e+06,                      0,              0.0013454,              0.0013454,              0.0013454
                     17,                0.91095,                0.90728,                 1.1205,                0.00064,                  0.125,                0.00038,                  8e-05,                 4.6106,             2.0203e+08,             2.6558e+06,              0.0014139,              0.0014139,              0.0014139
                     18,                0.81887,                0.79546,                 1.0852,                0.00064,                  0.125,                0.00038,                  8e-05,                      0,             2.4902e+07,                      0,              0.0014804,              0.0014804,              0.0014804
                     19,                0.77287,                0.76194,                 1.0581,                0.00064,                  0.125,                0.00038,                  8e-05,                      0,             1.6472e+06,                      0,               0.001545,               0.001545,               0.001545
